TIPO_NOM,CLV_DIP,NOM_DIP,PERC_DED,GRAV_NG,GRAV_LOC,GRAV_EST,TOPE_NG,INCIDENCIA,CLV_SALDO,SEC_CALC,TOPE_CLV,TOPE_CANT,TOPE_TIPO,VAL_PAR1_TIPO,VAL_PAR1_DESDE,VAL_PAR1_HASTA,VAL_PAR1_DEC,VAL_PAR1_DEF,VAL_PAR2_TIPO,VAL_PAR2_DESDE,VAL_PAR2_HASTA,VAL_PAR2_DEC,VAL_PAR2_DEF,VAL_PAR3_TIPO,VAL_PAR3_DESDE,VAL_PAR3_HASTA,REDONDEO_IMP,REDONDEO_DATO,FORMULA,FORMULA_PRES,FORMULA_FINI,FORMULA_AVANZADA,IMPRIMIR,APLICA_PENSION,BANDERA_FORMULA,BANDERA_NIVEL,DESC_RECIBOS,DIP_SALDOS,SUMA_RESTA_SALDOS,TRANSACCIONES
@,BOND,BONO DESPLAZAMIENTO,P,GE,1,,0,1,0,107,N,,,O,0,0,1,0,O,0,0,0,0,O,,,0,0,Importe = PARM1,,,0,1,0,1,,,,,
@,PADE,PAGOS EN DEMASIA,D,NI,0,,0,1,0,622,N,,,R,0,0,1,0,O,0,0,0,0,O,,,0,0,Importe = PARM1,,,0,1,0,1,,,,,
@,DAYC,ANTICIPO DE AYUDA DE COLEGIATURAS,D,NI,0,,0,1,0,700,N,,,R,0,0,1,0,O,0,0,0,0,O,,,0,0,Importe = PARM1,,,1,1,0,1,,,,,
@,DGAS,VALE DE GASOLINA,D,NI,0,,0,1,0,700,N,,,O,0,0,1,0,O,0,0,0,0,O,,,0,0,"IMPORTE = DIPM(""VGAS"",""IM"")+DIPM(""VAGA"",""IM"")",,,1,1,0,1,,,,,
@,DETA,DEVOLUCION DESCUENTO TARJ EXTRAVIADA,P,NI,0,,0,1,0,202,N,,,O,0,0,1,0,O,0,0,0,0,O,,,0,0,Importe = PARM1,,,1,1,0,1,,,,,
@,BANU,BONO ANUAL,P,GE,1,,0,1,0,300,N,,,R,0,0,1,0,O,0,0,0,0,O,,,0,0,Importe = PARM1,,,1,1,0,1,,,,,
@,DAUT,DESCUENTO AUTO CORPORATIVO,D,NI,0,,0,0,0,838,N,,,R,0,0,1,0,R,0,0,1,0,R,,,0,0,Importe = PARM1ûDato = PARM2,,,1,1,0,1,,,,,
@,RETS,REPOSICIÓN TARJETA SIVA,D,NI,0,,0,1,0,848,N,,,R,0,0,1,0,O,0,0,1,0,O,,,0,0,Importe = PARM1ûDato = PARM2,,,1,1,0,1,,,,,
@,HEXT,HORAS EXTRAS,P,GN,1,1,0,1,0,40,N,,,R,0,9,1,0,O,0,0,0,0,O,,,0,0,"IMPORTE  = SDI@ / 4 * PARM1ûDATO        = PARM1ûTOPE.EXE = SMI@ * 5ûSEMANA    = PARM4ûIMP_GRAV = IMPORTE / 2 ûRESTA       = IMP_GRAV ûûIF SEMANA = """" THENû    RESTA = IMP_GRAV û    HRAS.YA = 0û    HRAS.YA = DIPM(""HEXT"",""IM"")ûEND ELSEû     HRAS.YA = 0û     LOCATE ""HEXT"" IN REG_MOVTO<AN_EMP_MOVTOS.CLV_DIP_P%> USING @VM SETTING POS THENû         LOCATE ""()=/& "" IN REG_MOVTO<AN_EMP_MOVTOS.CLV_DIP_P%> USING @VM SETTING POS1 ELSE POS1-=1û         FOR J = POS TO POS1û             IF REG_MOVTO<AN_EMP_MOVTOS.CLV_DIP_P%,J> =  ""HEXT"" THEN û              IF REG_MOVTO<AN_EMP_MOVTOS.REFER_P%,J> = SEMANA THENû                  HRAS.YA = HRAS.YA + REG_MOVTO<AN_EMP_MOVTOS.IMP_P%,J> / 100û              ENDû             END û         NEXT J           û      ENDûENDûIMPORTE.YA = HRAS.YA / 2 ûIF IMPORTE.YA  GE TOPE.EXE THENû     IMP_GRAV = IMP_GRAV + RESTAûEND ELSEû         IF ( IMPORTE.YA + RESTA )  GT TOPE.EXE THEN û             IMP_GRAV = IMP_GRAV + ( IMPORTE.YA + RESTA ) - TOPE.EXEû         END ûENDû",,,1,1,0,1,,,,,
@,PRGA,PROVISION DE AGUINALDO,E,NI,0,0,0,0,0,301,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,"IF PARM2 NE """" AND PARM2 NE 0 THEN IMPORTE= PARM2; DATO= PARM1; RETURNûNUMERO=NUM_EMPûCOMMON /CALCULO_VARIO/ REG.VAC, REG.GRA, ANTIG_EMP   û$INSERT AN_TAB_GRATûDECLARE FUNCTION FECHAûû*IF @USERNAME = ""MANAGER_NOM"" THEN DEBUGûDIAS.GRA=15ûSALARIO = SDI@ûANOS = INT(ANTIG_EMP + 0.99) û    IF ANOS = 0 THENû       DIAS.GRA= 0û       DIAS.GRA =  REG.GRA<AN_TAB_GRAT.DIAS%,1> û    END ELSEû      LOCATE ""##"" IN REG.GRA<AN_TAB_GRAT.LIM_INF%> USING @VM SETTING POS3 ELSE POS3=POS3-1û      FOR IND=1 TO POS3û        IF ANOS < REG.GRA<AN_TAB_GRAT.LIM_SUP%,IND> THEN û           DIAS.GRA=REG.GRA<AN_TAB_GRAT.DIAS%,IND> û           IND = POS3û        ENDû      NEXTû    ENDûû    FACTOR_DIARIO =DIAS.GRA/365*SALARIOû    IMPORTE = FACTOR_DIARIO * DIAS_PER û    DATO       = DIAS.GRA / 365 * DIAS_PER ûû*ajuste a la fechaûF_INI= EJ_FISCAL%:""0101""ûIF F_INI LT REG_EMP<AN_EMP.F_INGRESO%> THENû F_INI= REG_EMP<AN_EMP.F_INGRESO%>ûENDûû*si es finiquito calcula hasta f.bajaûF_FIN_INT= DIPC(""@GRA"",""PH"")ûIF F_FIN_INT = """" THEN F_FIN_INT= FTERPERûûF_INI_INT= FECHA(F_INI,1,""AAAAMMDD"")ûIMP_CALCULO= (F_FIN_INT - F_INI_INT + 1) * FACTOR_DIARIOûIMP_ACUM= DIPA(CLV_DIP, ""IM"", EJ_FISCAL%:F_INI[5,2], EJ_FISCAL%:MES_BASE) + IMPORTEûIMP_AJUSTE= IMP_CALCULO - IMP_ACUMûIMPORTE += IMP_AJUSTE",,,1,0,0,1,,,,,
@,INCE,INCAPACIDAD ENFERMEDAD GRAL,D,GN,1,0,0,1,0,620,N,,,R,0,0,1,0,O,0,0,1,0,O,,,0,0,"IF PARM2 NE """" AND PARM2 NE 0 THEN IMPORTE= PARM2; DATO= PARM1; RETURNûû$INSERT AN_TIPOSûû*obtiene ausentismoûDIAS_AUSE= 0ûFINIPER_EXT=  FECHA(FINIPER,2,""AAAAMMDD"")ûCALL TABLAS_IMSS(""@IMS"", ZONA_ECO, FINIPER_EXT, PORCENTAJE, IMP_TOPE, IMP_TOPE_EXE, FALTAS,INCAPACIDADES, STATUS)ûFOR CONT1= 1 TO COUNT(FALTAS, @VM) + 1û DIAS_AUSE+= DIPM(FALTAS<1,CONT1>, ""DA"")ûNEXT CONT1ûûFOR CONT1= 1 TO COUNT(INCAPACIDADES, @VM) + 1ûû DIAS_AUSE+= DIPM(INCAPACIDADES<1,CONT1>, ""DA"")ûNEXT CONT1ûûIF REG_TIPO<AN_TIPOS.PERIODICIDAD%> = ""S"" THENû DIAS_JOR= DIAS_PERû û DIAS_DISP= DIAS_JOR - DIAS_AUSEû IF DIAS_DISP <= 0 THEN DIAS_DISP= 0û IF PARM1 > DIAS_DISP THEN DIAS_DESC= DIAS_DISP ELSE DIAS_DESC= PARM1û û FACTOR= 7/6ûEND ELSEû DIAS_PAGA= DIPM(""PNOR"",""DA"") + DIPM(""@VAC"",""DA"")û DIAS_DISP= DIAS_PAGA - DIAS_AUSEû û IF DIAS_DISP <= 0 THEN DIAS_DISP= 0û IF PARM1 > DIAS_DISP THEN DIAS_DESC= DIAS_DISP ELSE DIAS_DESC= PARM1ûû FACTOR= 1ûENDûûIF PARM32[7,2]=31 THENûDIAS_DESC=DIAS_DESC-1ûENDûûIMPORTE= SDI@*DIAS_DESC*FACTORûDATO= DIAS_DESC",,,1,1,0,1,,,,,
@,NETO,NETO A PAGAR,X,NI,0,0,0,0,0,999,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,* Dip de neto a pagar NETOûPERCEPCIONES = SUM(REG_MOVTO<AN_EMP_MOVTOS.IMP_P%>)ûDEDUCCIONES   = SUM(REG_MOVTO<AN_EMP_MOVTOS.IMP_D%>)ûNETO                    = ( PERCEPCIONES - DEDUCCIONES) ûIMPORTE              = NETO / 100,,,1,1,0,1,,,,,
